L,measured_intensity_trace
9.984496124031008168e-01,1.053273077968177318e-01
1.004651162790697771e+00,4.051183985432453838e-01
1.010852713178294504e+00,4.051183985432453838e-01
1.017054263565891459e+00,4.051183985432453838e-01
1.023255813953488413e+00,3.270672070360343686e-01
1.029457364341085368e+00,1.498456114086511581e-01
1.035658914728682101e+00,6.865166172394215893e-02
1.041860465116279055e+00,3.145271064766386876e-02
1.048062015503876010e+00,1.441003731364394989e-02
1.054263565891472965e+00,6.601948484081890736e-03
1.060465116279069697e+00,6.601948484081890736e-03
1.066666666666666652e+00,6.601948484081890736e-03
1.072868217054263607e+00,6.601948484081890736e-03
1.079069767441860561e+00,6.601948484081890736e-03
1.085271317829457294e+00,6.601948484081890736e-03
1.091472868217054248e+00,6.601948484081890736e-03
1.097674418604651203e+00,6.601948484081890736e-03
1.103875968992248158e+00,6.601948484081890736e-03
1.110077519379844890e+00,6.601948484081890736e-03
1.116279069767441845e+00,6.601948484081890736e-03
1.122480620155038800e+00,6.601948484081890736e-03
1.128682170542635754e+00,6.601948484081890736e-03
1.134883720930232487e+00,6.601948484081890736e-03
1.141085271317829442e+00,6.478514122711529627e-03
1.147286821705426396e+00,6.478514122711529627e-03
1.153488372093023351e+00,6.478514122711529627e-03
1.159689922480620083e+00,6.478514122711529627e-03
1.165891472868217038e+00,6.539940098467148660e-03
1.172093023255813993e+00,6.539940098467148660e-03
1.178294573643410947e+00,6.539940098467148660e-03
1.184496124031007680e+00,6.539940098467148660e-03
1.190697674418604635e+00,6.539940098467148660e-03
1.196899224806201589e+00,6.539940098467148660e-03
1.203100775193798544e+00,6.539940098467148660e-03
1.209302325581395277e+00,6.539940098467148660e-03
1.215503875968992231e+00,6.539940098467148660e-03
1.221705426356589186e+00,6.539940098467148660e-03
1.227906976744186140e+00,6.478514122711529627e-03
1.234108527131782873e+00,6.357387571164828909e-03
1.240310077519379828e+00,6.357387571164828909e-03
1.246511627906976782e+00,6.357387571164828909e-03
1.252713178294573737e+00,6.357387571164828909e-03
1.258914728682170470e+00,6.434203371437006470e-03
1.265116279069767424e+00,6.434203371437006470e-03
1.271317829457364379e+00,6.434203371437006470e-03
1.277519379844961334e+00,6.412161776904335558e-03
1.283720930232558066e+00,6.390195690070358918e-03
1.289922480620155021e+00,6.368304852269020960e-03
1.296124031007751976e+00,6.346489005720379328e-03
1.302325581395348930e+00,6.324747893527511017e-03
1.308527131782945663e+00,6.303081259673598905e-03
1.314728682170542617e+00,6.281488849018856090e-03
1.320930232558139572e+00,6.259970407297534359e-03
1.327131782945736527e+00,6.238525681114844186e-03
1.333333333333333259e+00,6.238525681114844186e-03
1.339534883720930214e+00,6.238525681114844186e-03
1.345736434108527169e+00,6.238525681114844186e-03
1.351937984496124123e+00,6.221727802575389640e-03
1.358139534883720856e+00,6.204975154069094882e-03
1.364341085271317811e+00,6.188267613809396439e-03
1.370542635658914765e+00,6.171605060337623065e-03
1.376744186046511720e+00,6.154987372522236801e-03
1.382945736434108452e+00,6.138414429557765249e-03
1.389147286821705407e+00,6.121886110964048708e-03
1.395348837209302362e+00,6.121886110964048708e-03
1.401550387596899316e+00,6.121886110964048708e-03
1.407751937984496049e+00,6.121886110964048708e-03
1.413953488372093004e+00,6.121886110964048708e-03
1.420155038759689958e+00,6.121886110964048708e-03
1.426356589147286913e+00,6.121886110964048708e-03
1.432558139534883646e+00,6.121886110964048708e-03
1.438759689922480600e+00,6.121886110964048708e-03
1.444961240310077555e+00,6.121886110964048708e-03
1.451162790697674509e+00,6.121886110964048708e-03
1.457364341085271242e+00,6.121886110964048708e-03
1.463565891472868197e+00,6.121886110964048708e-03
1.469767441860465151e+00,6.121886110964048708e-03
1.475968992248062106e+00,6.121886110964048708e-03
1.482170542635658839e+00,6.121886110964048708e-03
1.488372093023255793e+00,6.179930721303394763e-03
1.494573643410852748e+00,6.179930721303394763e-03
1.500775193798449703e+00,6.179930721303394763e-03
1.506976744186046435e+00,6.238525681114844186e-03
1.513178294573643390e+00,6.238525681114844186e-03
1.519379844961240345e+00,6.238525681114844186e-03
1.525581395348837299e+00,6.238525681114844186e-03
1.531782945736434032e+00,6.238525681114844186e-03
1.537984496124030986e+00,6.238525681114844186e-03
1.544186046511627941e+00,6.238525681114844186e-03
1.550387596899224896e+00,6.238525681114844186e-03
1.556589147286821628e+00,6.238525681114844186e-03
1.562790697674418583e+00,6.238525681114844186e-03
1.568992248062015538e+00,6.238525681114844186e-03
1.575193798449612492e+00,6.238525681114844186e-03
1.581395348837209225e+00,6.238525681114844186e-03
1.587596899224806180e+00,6.238525681114844186e-03
1.593798449612403134e+00,6.238525681114844186e-03
1.600000000000000089e+00,6.238525681114844186e-03
1.606201550387596821e+00,6.357387571164828909e-03
1.612403100775193776e+00,6.357387571164828909e-03
1.618604651162790731e+00,6.417665086567087181e-03
1.624806201550387685e+00,6.478514122711529627e-03
1.631007751937984418e+00,6.539940098467148660e-03
1.637209302325581373e+00,6.539940098467148660e-03
1.643410852713178327e+00,6.601948484081890736e-03
1.649612403100775282e+00,6.664544801669809206e-03
1.655813953488372015e+00,6.727734625702834134e-03
1.662015503875968969e+00,6.986542336182587944e-03
1.668217054263565924e+00,7.255306062279816282e-03
1.674418604651162878e+00,7.255306062279816282e-03
1.680620155038759611e+00,7.255306062279816282e-03
1.686821705426356566e+00,7.393540548364288534e-03
1.693023255813953520e+00,7.393540548364288534e-03
1.699224806201550475e+00,7.393540548364288534e-03
1.705426356589147208e+00,7.393540548364288534e-03
1.711627906976744162e+00,7.534408799720557388e-03
1.717829457364341117e+00,7.534408799720557388e-03
1.724031007751938072e+00,7.605846231745611724e-03
1.730232558139534804e+00,7.677960997166025266e-03
1.736434108527131759e+00,7.677960997166025266e-03
1.742635658914728713e+00,7.677960997166025266e-03
1.748837209302325668e+00,7.824248277607279839e-03
1.755038759689922401e+00,7.824248277607279839e-03
1.761240310077519355e+00,7.824248277607279839e-03
1.767441860465116310e+00,7.973322752256319437e-03
1.773643410852713265e+00,7.973322752256319437e-03
1.779844961240309997e+00,7.973322752256319437e-03
1.786046511627906952e+00,7.973322752256319437e-03
1.792248062015503907e+00,7.824248277607279839e-03
1.798449612403100861e+00,7.824248277607279839e-03
1.804651162790697594e+00,7.824248277607279839e-03
1.810852713178294549e+00,7.824248277607279839e-03
1.817054263565891503e+00,7.824248277607279839e-03
1.823255813953488458e+00,7.824248277607279839e-03
1.829457364341085190e+00,7.824248277607279839e-03
1.835658914728682145e+00,7.824248277607279839e-03
1.841860465116279100e+00,7.824248277607279839e-03
1.848062015503876054e+00,7.824248277607279839e-03
1.854263565891472787e+00,7.775178756191070475e-03
1.860465116279069742e+00,7.726416972700126014e-03
1.866666666666666696e+00,7.677960997166025266e-03
1.872868217054263651e+00,7.677960997166025266e-03
1.879069767441860384e+00,7.677960997166025266e-03
1.885271317829457338e+00,7.677960997166025266e-03
1.891472868217054293e+00,7.677960997166025266e-03
1.897674418604651247e+00,7.677960997166025266e-03
1.903875968992247980e+00,7.677960997166025266e-03
1.910077519379844935e+00,7.677960997166025266e-03
1.916279069767441889e+00,7.677960997166025266e-03
1.922480620155038844e+00,7.677960997166025266e-03
1.928682170542635577e+00,7.677960997166025266e-03
1.934883720930232531e+00,7.677960997166025266e-03
1.941085271317829486e+00,7.677960997166025266e-03
1.947286821705426441e+00,7.677960997166025266e-03
1.953488372093023173e+00,7.677960997166025266e-03
1.959689922480620128e+00,7.677960997166025266e-03
1.965891472868217082e+00,7.677960997166025266e-03
1.972093023255814037e+00,7.605846231745611724e-03
1.978294573643410770e+00,7.534408799720557388e-03
1.984496124031007724e+00,7.463642339279568348e-03
1.990697674418604679e+00,7.463642339279568348e-03
1.996899224806201634e+00,7.463642339279568348e-03
2.003100775193798366e+00,7.463642339279568348e-03
2.009302325581395543e+00,7.463642339279568348e-03
2.015503875968992276e+00,7.463642339279568348e-03
2.021705426356589008e+00,7.463642339279568348e-03
2.027906976744186185e+00,7.463642339279568348e-03
2.034108527131782918e+00,7.463642339279568348e-03
2.040310077519379650e+00,7.463642339279568348e-03
2.046511627906976827e+00,7.463642339279568348e-03
2.052713178294573559e+00,7.534408799720557388e-03
2.058914728682170736e+00,7.534408799720557388e-03
2.065116279069767469e+00,7.534408799720557388e-03
2.071317829457364201e+00,7.605846231745611724e-03
2.077519379844961378e+00,7.605846231745611724e-03
2.083720930232558111e+00,7.605846231745611724e-03
2.089922480620154843e+00,7.605846231745611724e-03
2.096124031007752020e+00,7.605846231745611724e-03
2.102325581395348753e+00,7.605846231745611724e-03
2.108527131782945929e+00,7.605846231745611724e-03
2.114728682170542662e+00,7.605846231745611724e-03
2.120930232558139394e+00,7.605846231745611724e-03
2.127131782945736571e+00,7.605846231745611724e-03
2.133333333333333304e+00,7.605846231745611724e-03
2.139534883720930036e+00,7.605846231745611724e-03
2.145736434108527213e+00,7.605846231745611724e-03
2.151937984496123946e+00,7.605846231745611724e-03
2.158139534883721122e+00,7.605846231745611724e-03
2.164341085271317855e+00,7.534408799720557388e-03
2.170542635658914588e+00,7.534408799720557388e-03
2.176744186046511764e+00,7.534408799720557388e-03
2.182945736434108497e+00,7.534408799720557388e-03
2.189147286821705229e+00,7.534408799720557388e-03
2.195348837209302406e+00,7.534408799720557388e-03
2.201550387596899139e+00,7.534408799720557388e-03
2.207751937984496315e+00,7.534408799720557388e-03
2.213953488372093048e+00,7.534408799720557388e-03
2.220155038759689781e+00,7.605846231745611724e-03
2.226356589147286957e+00,7.605846231745611724e-03
2.232558139534883690e+00,7.605846231745611724e-03
2.238759689922480423e+00,7.677960997166025266e-03
2.244961240310077599e+00,7.677960997166025266e-03
2.251162790697674332e+00,7.677960997166025266e-03
2.257364341085271509e+00,7.605846231745611724e-03
2.263565891472868241e+00,7.534408799720557388e-03
2.269767441860464974e+00,7.534408799720557388e-03
2.275968992248062150e+00,7.534408799720557388e-03
2.282170542635658883e+00,7.534408799720557388e-03
2.288372093023255616e+00,7.534408799720557388e-03
2.294573643410852792e+00,7.534408799720557388e-03
2.300775193798449525e+00,7.591504763111936276e-03
2.306976744186046702e+00,7.649033401331833612e-03
2.313178294573643434e+00,7.706997993202417165e-03
2.319379844961240167e+00,7.765401842392733595e-03
2.325581395348837344e+00,7.824248277607279839e-03
2.331782945736434076e+00,7.824248277607279839e-03
2.337984496124030809e+00,7.824248277607279839e-03
2.344186046511627985e+00,7.898433820141081627e-03
2.350387596899224718e+00,8.125237525193885341e-03
2.356589147286821895e+00,8.125237525193885341e-03
2.362790697674418627e+00,8.125237525193885341e-03
2.368992248062015360e+00,8.125237525193885341e-03
2.375193798449612537e+00,8.125237525193885341e-03
2.381395348837209269e+00,8.125237525193885341e-03
2.387596899224806002e+00,8.125237525193885341e-03
2.393798449612403179e+00,8.125237525193885341e-03
2.399999999999999911e+00,8.125237525193885341e-03
2.406201550387597088e+00,8.125237525193885341e-03
2.412403100775193820e+00,8.125237525193885341e-03
2.418604651162790553e+00,8.048921743135239656e-03
2.424806201550387730e+00,8.048921743135239656e-03
2.431007751937984462e+00,8.048921743135239656e-03
2.437209302325581195e+00,8.125237525193885341e-03
2.443410852713178372e+00,8.280046712286477303e-03
2.449612403100775104e+00,8.358553903745903971e-03
2.455813953488372281e+00,8.358553903745903971e-03
2.462015503875969014e+00,8.358553903745903971e-03
2.468217054263565746e+00,8.437805460463763951e-03
2.474418604651162923e+00,8.437805460463763951e-03
2.480620155038759655e+00,8.437805460463763951e-03
2.486821705426356388e+00,8.598569967363346028e-03
2.493023255813953565e+00,8.598569967363346028e-03
2.499224806201550297e+00,8.762397501349741130e-03
2.505426356589147474e+00,8.762397501349741130e-03
2.511627906976744207e+00,8.762397501349741130e-03
2.517829457364340939e+00,8.929346421914835866e-03
2.524031007751938116e+00,8.929346421914835866e-03
2.530232558139534849e+00,9.099476200466968118e-03
2.536434108527131581e+00,9.099476200466968118e-03
2.542635658914728758e+00,9.272847441516195860e-03
2.548837209302325491e+00,9.272847441516195860e-03
2.555038759689922667e+00,9.449521904263107758e-03
2.561240310077519400e+00,9.449521904263107758e-03
2.567441860465116132e+00,9.629562524599030379e-03
2.573643410852713309e+00,9.629562524599030379e-03
2.579844961240310042e+00,9.813033437525335925e-03
2.586046511627906774e+00,9.813033437525335925e-03
2.592248062015503951e+00,1.000000000000000021e-02
2.598449612403100684e+00,1.009481491371652662e-02
2.604651162790697860e+00,1.028715022524396595e-02
2.610852713178294593e+00,1.058254597567369164e-02
2.617054263565891326e+00,1.078417396929039554e-02
2.623255813953488502e+00,1.098964355716081608e-02
2.629457364341085235e+00,1.130521141943977882e-02
2.635658914728681967e+00,1.162984081999205582e-02
2.641860465116279144e+00,1.185142279809135724e-02
2.648062015503875877e+00,1.219173667068469864e-02
2.654263565891473053e+00,1.242402438379872423e-02
2.660465116279069786e+00,1.278078052382315526e-02
2.666666666666666519e+00,1.302429121962334936e-02
2.672868217054263695e+00,1.339828403535913391e-02
2.679069767441860428e+00,1.378301606322273470e-02
2.685271317829457161e+00,1.431323180883200055e-02
2.691472868217054337e+00,1.472423658261951332e-02
2.697674418604651070e+00,1.558199105922675534e-02
